dic_no,word_kor,word_eng,mean,,,,,,,
77,접시,plate,운두가 낮고 납작한 그릇.,,,,,,,
78,모래,sand,자연히 잘게 부스러진 돌 부스러기.,,,,,,,
79,수건,towel,얼굴이나 몸을 닦기 위하여 만든 천 조각. ,,,,,,,
80,바디워시,bodywash,목욕할 때 피부의 노폐물을 깨끗이 씻어 내기 위하여 사용하는 거품이나 액체 형태의 비누,,,,,,,
81,구름,cloud,공기 중의 수분이 엉기어서 미세한 물방울이나 얼음 결정의 덩어리가 되어 공중에 떠 있는 것.,,,,,,,
82,태블릿,tablet,터치스크린을 주 입력 장치로 하여 손가락이나 터치 펜으로 쉽게 조작할 수 있는 소형의 휴대용 컴퓨터.,,,,,,,
83,전자레인지,microwave,마이크로파의 성질을 이용하여 식품을 가열하는 조리 기구.,,,,,,,
84,도시,city,"일정한 지역의 정치ㆍ경제ㆍ문화의 중심이 되는, 사람이 많이 사는 지역.",,,,,,,
85,시골,countryside,도시에서 떨어져 있는 지역.,,,,,,,
86,바늘,needle,"옷 따위를 짓거나 꿰매는 데 쓰는, 가늘고 끝이 뾰족한 쇠로 된 물건.",,,,,,,
87,박스,box,"물건을 넣어 두기 위하여 나무, 대나무, 두꺼운 종이 같은 것으로 만든 네모난 그릇.",,,,,,,
88,사람,person,"생각을 하고 언어를 사용하며, 도구를 만들어 쓰고 사회를 이루어 사는 동물.",,,,,,,
89,손,hand,사람의 팔목 끝에 달린 부분.,,,,,,,
90,발,foot,사람이나 동물의 다리 맨 끝부분.,,,,,,,
91,옷,clothing,몸을 싸서 가리거나 보호하기 위하여 피륙 따위로 만들어 입는 물건.,,,,,,,
92,신발,shoes,땅을 딛고 서거나 걸을 때 발에 신는 물건을 통틀어 이르는 말. 가죽ㆍ고무ㆍ비닐ㆍ헝겊ㆍ나무ㆍ짚ㆍ삼 따위,,,,,,,
93,모자,hat,머리에 쓰는 물건의 하나.,,,,,,,
94,화장품,cosmetics,"화장하는 데 쓰는 크림, 분, 향수 따위를 통틀어 이르는 말.",,,,,,,
95,필기구,pen,필기하는 데에 쓰는 여러 종류의 물건.,,,,,,,
96,이어폰,earphone,"귀에 끼우거나 밀착할 수 있게 된, 전기 신호를 음향 신호로 변환하는 소형 장치.",,,,,,,
97,국,soup,"고기, 생선, 채소 따위에 물을 많이 붓고 간을 맞추어 끓인 음식.",,,,,,,
98,김치,kimchi,"소금에 절인 배추나 무 따위를 고춧가루, 파, 마늘 따위의 양념에 버무린 뒤 발효를 시킨 음식.",,,,,,,
99,고기,meat,식용하는 온갖 동물의 살.,,,,,,,
100,밥,rice,"쌀, 보리 따위의 곡식을 씻어서 솥 따위의 용기에 넣고 물을 알맞게 부어, 낟알이 풀어지지 않고 물기가 잦아들게 끓여 익힌 음식.",,,,,,,
101,빵,bread,"밀가루를 주원료로 하여 소금, 설탕, 버터, 효모 따위를 섞어 반죽하여 발효한 뒤에 불에 굽거나 찐 음식. 서양 사람들의 주 음식이다.",,,,,,,
102,튀김,fried food,"생선이나 고기, 야채 따위를 밀가루에 묻혀서 기름에 튀긴 음식.",,,,,,,
103,선풍기,fan,회전축에 붙은 날개를 전동기로 돌려 바람을 일으키는 장치.,,,,,,,
104,소시지,sausage,으깨어 양념한 고기를 돼지 창자나 인공 케이싱에 채워 만든 가공식품.,,,,,,,
105,에어컨,air conditioner,"여름에 실내 공기의 온도, 습도를 조절하는 장치.",,,,,,,
106,서랍장,drawer,여러 개의 서랍으로 구성되어 있는 장.,,,,,,,
107,싱크대,sink,조리할 재료를 다듬거나 씻거나 조리할 수 있도록 만든 부엌 세간.,,,,,,,
108,샤워기,shower head,물뿌리개 모양의 분출기를 통하여 소나기처럼 물을 뿌리는 목욕용 기구.,,,,,,,
109,변기,toilet,똥이나 오줌을 누도록 만든 기구.,,,,,,,
110,세탁기,washing machine,빨래하는 기계.,,,,,,,
111,의자,chair,사람이 걸터앉는 데 쓰는 기구.,,,,,,,
112,탁자,table,물건을 올려놓기 위하여 책상 모양으로 만든 가구를 통틀어 이르는 말.,,,,,,,
113,스피커,speaker,소리를 크게 하여 멀리까지 들리게 하는 기구.,,,,,,,
114,캔,can,양철 따위로 만든 통.,,,,,,,
115,시계,clock,시간을 재거나 시각을 나타내는 기계나 장치를 통틀어 이르는 말.,,,,,,,
116,손목시계,watch,손목에 차는 작은 시계.,,,,,,,
117,냉장고,refrigerator,"식품이나 약품 따위를 차게 하거나 부패하지 않도록 저온에서 보관하기 위한 상자 모양의 장치. 저장실과 냉각 장치로 이루어지며 얼음, 전기, 가스 따위를 이용하여 냉각한다.",,,,,,,
118,달걀,egg,"닭이 낳은 알. 알껍데기, 노른자, 흰자 따위로 이루어져 있다.",,,,,,,
119,리모컨,remote control,멀리 떨어져 있는 기기나 기계류를 제어하는 장치.,,,,,,,
120,손톱깎이,nail clipper,"손톱을 깎는 기구. 손톱의 끝부분처럼 반달 모양의 날이 위아래로 있어, 그 사이에 손톱을 끼워 넣고 맞물어서 잘라 내게 되어 있다.",,,,,,,
121,헤어드라이어,hair drier,젖은 머리를 말리는 기구. 찬 바람이나 더운 바람이 나오며 머리 모양을 내는 데도 쓴다.,,,,,,,
122,면도기,razor,면도할 수 있도록 만든 기구.,,,,,,,
123,인형,doll,사람이나 동물 모양으로 만든 장난감.,,,,,,,
124,쥐,book,종이를 여러 장 묶어 맨 물건.,,,,,,,
125,포크,fork,"양식에서, 고기ㆍ생선ㆍ과일 따위를 찍어 먹거나 얹어 먹는 식탁 용구.",,,,,,,
126,숟가락,spoon,"밥이나 국물 따위를 떠먹는 기구. 은ㆍ백통ㆍ놋쇠 따위로 만들며, 생김새는 우묵하고 길둥근 바닥에 자루가 달려 있다.",,,,,,,
127,젓가락,chopsticks,"음식을 집어 먹거나, 물건을 집는 데 쓰는 기구. 한 쌍의 가늘고 짤막한 나무나 쇠붙이 따위로 만든다.",,,,,,,
128,케이크,cake,"밀가루, 달걀, 버터, 우유, 설탕 따위를 주원료로 하여 오븐 따위에 구운 서양 음식.",,,,,,,
129,샴푸,shampoo,주로 머리를 감는 데 쓰는 비누. 설폰 화합물을 쓰며 주로 액체로 되어 있다.,,,,,,,
130,휴지,paper towel,밑을 닦거나 코를 푸는 데 허드레로 쓰는 얇은 종이.,,,,,,,
